Country or Area,Subgroup,People living with HIVAIDS
Least Developed Countries/Territories,Total,10300
Least Developed Countries/Territories,Total 0-14 yr,1600
Lebanon,Female 15+ yr,1
Lebanon,Total,3
Lesotho,Female 15+ yr,170
Lesotho,Total,320
Lesotho,Total 0-14 yr,41
Liberia,Female 15+ yr,12
Liberia,Total,25
Liberia,Total 0-14 yr,5
Lithuania,Female 15+ yr,<0.5
Lithuania,Total,2
Luxembourg,Female 15+ yr,<0.5
Luxembourg,Total,<1
Madagascar,Female 15+ yr,10
Madagascar,Total,34
Malawi,Female 15+ yr,430
Malawi,Total,910
Malawi,Total 0-14 yr,170
Malaysia,Female 15+ yr,8
Malaysia,Total,81
Maldives,Female 15+ yr,<0.1
Maldives,Total,<0.1
Mali,Female 15+ yr,55
Mali,Total,110
Malta,Female 15+ yr,<0.1
Malta,Total,<0.5
Mauritania,Female 15+ yr,13
Mauritania,Total,24
Mauritius,Female 15+ yr,2
Mauritius,Total,7
Mexico,Female 15+ yr,32
Mexico,Total,180
Middle East and North Africa,Female 15+ yr,74
Middle East and North Africa,Total,260
Middle East and North Africa,Total 0-14 yr,32
Mongolia,Female 15+ yr,<0.5
Mongolia,Total,<1
Morocco,Female 15+ yr,15
Morocco,Total,32
Mozambique,Female 15+ yr,750
Mozambique,Total,1400
Mozambique,Total 0-14 yr,200
Myanmar,Female 15+ yr,77
Myanmar,Total,220
Namibia,Female 15+ yr,100
Namibia,Total,190
Namibia,Total 0-14 yr,20
Nepal,Female 15+ yr,10
Nepal,Total,49
Netherlands,Female 15+ yr,8
Netherlands,Total,25
New Zealand,Female 15+ yr,<1
New Zealand,Total,3
Nicaragua,Female 15+ yr,5
Nicaragua,Total,8
Niger,Female 15+ yr,33
Niger,Total,65
Nigeria,Female 15+ yr,1700
Nigeria,Total,3400
Nigeria,Total 0-14 yr,440
Norway,Female 15+ yr,1
Norway,Total,5
Pakistan,Female 15+ yr,28
Pakistan,Total,130
Panama,Female 15+ yr,4
Panama,Total,18
Papua New Guinea,Female 15+ yr,12
Papua New Guinea,Total,28
Papua New Guinea,Total 0-14 yr,4
Paraguay,Female 15+ yr,4
Paraguay,Total,13
Peru,Female 15+ yr,20
Peru,Total,74
Philippines,Female 15+ yr,4
Philippines,Total,19
Poland,Female 15+ yr,10
Poland,Total,35
Portugal,Female 15+ yr,14
Portugal,Total,48
Republic of Korea,Female 15+ yr,4
Republic of Korea,Total,15
Republic of Moldova,Female 15+ yr,6
Republic of Moldova,Total,15
Romania,Female 15+ yr,5
Romania,Total,16
Rwanda,Female 15+ yr,110
Rwanda,Total,210
Rwanda,Total 0-14 yr,27
Sao Tome and Principe,Female 15+ yr,<0.5
Sao Tome and Principe,Total,<1
Senegal,Female 15+ yr,28
Senegal,Total,53
Serbia,Female 15+ yr,<1
Serbia,Total,4
Sierra Leone,Female 15+ yr,27
Sierra Leone,Total,49
Sierra Leone,Total 0-14 yr,4
Singapore,Female 15+ yr,1
Singapore,Total,3
Slovakia,Female 15+ yr,<0.2
Slovakia,Total,<0.5
Slovenia,Female 15+ yr,<0.2
Slovenia,Total,<1
Somalia,Female 15+ yr,15
Somalia,Total,35
South Africa,Female 15+ yr,2900
South Africa,Total,5600
South Africa,Total 0-14 yr,460
South Asia,Female 15+ yr,890
South Asia,Total,2500
South Asia,Total 0-14 yr,110
South Sudan,Female 15+ yr,77
South Sudan,Total,150
South Sudan,Total 0-14 yr,16
Spain,Female 15+ yr,35
Spain,Total,150
Sri Lanka,Female 15+ yr,1
Sri Lanka,Total,4
Sub-Saharan Africa,Female 15+ yr,11800
Sub-Saharan Africa,Total,23500
Sub-Saharan Africa,Total 0-14 yr,3100
Sudan,Female 15+ yr,22
Sudan,Total,69
Suriname,Female 15+ yr,2
Suriname,Total,3
Swaziland,Female 15+ yr,100
Swaziland,Total,190
Swaziland,Total 0-14 yr,17
Sweden,Female 15+ yr,3
