Country or Area,Subgroup,Year,Source,Unit,Gross enrolment ratio of girls to boys in primary education,Gross enrolment ratio of girls to boys in primary education Footnotes
Germany,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Ghana,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Grenada,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Guatemala,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Guinea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Guinea-Bissau,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Guyana,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Honduras,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Hungary,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Iceland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
India,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Indonesia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Iran (Islamic Republic of),Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Ireland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Israel,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Italy,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Jamaica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Japan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Jordan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kazakhstan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kenya,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Kiribati,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Kuwait,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,103.0,1.0
Kyrgyzstan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Lao People's Democratic Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Latin America and Caribbean,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,2.0
Latvia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Least Developed Countries/Territories,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,2.0
Lebanon,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Lesotho,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Liberia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Liechtenstein,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Lithuania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Luxembourg,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Madagascar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Malawi,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,104.0,1.0
Maldives,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Mali,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,87.0,1.0
Malta,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Marshall Islands,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Mauritania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,105.0,1.0
Mauritius,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,101.0,1.0
Mexico,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Middle East and North Africa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,2.0
Mongolia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Montenegro,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Morocco,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Mozambique,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Myanmar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Namibia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Nauru,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Netherlands,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
New Zealand,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Nicaragua,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Niger,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Nigeria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Norway,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Oman,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Pakistan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,82.0,1.0
Panama,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Papua New Guinea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Paraguay,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Peru,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Philippines,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Poland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Portugal,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Qatar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Republic of Korea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Republic of Moldova,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Romania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Russian Federation,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Rwanda,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
Saint Kitts and Nevis,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Saint Lucia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Saint Vincent and the Grenadines,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Samoa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,102.0,1.0
San Marino,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,113.0,1.0
Sao Tome and Principe,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Saudi Arabia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Senegal,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,106.0,1.0
Serbia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Seychelles,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Sierra Leone,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Slovakia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Slovenia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
South Africa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
South Asia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,2.0
Spain,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sri Lanka,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
