Country or Area,Subgroup,Year,Source,Unit,Proportion of infants with low birth weight,Proportion of infants with low birth weight Footnotes
Slovakia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,7.0,1.0
Solomon Islands,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,13.0,2.0
South Asia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,28.0,3.0
Sri Lanka,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,17.0,2.0
State of Palestine,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,7.0,1.0
Sub-Saharan Africa,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,12.0,3.0
Suriname,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,1.0
Swaziland,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,9.0,2.0
Syrian Arab Republic,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,10.0,2.0
Tajikistan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,10.0,1.0
Thailand,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,7.0,2.0
The former Yugoslav Republic of Macedonia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,6.0,2.0
Timor-Leste,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,12.0,1.0
Togo,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,2.0
Tonga,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,3.0,1.0
Trinidad and Tobago,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,19.0,1.0
Tunisia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,5.0,1.0
Turkey,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,2.0
Turkmenistan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,4.0,1.0
Tuvalu,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,6.0,2.0
Uganda,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,14.0,1.0
Ukraine,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,4.0,2.0
United Kingdom,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,1.0
United Republic of Tanzania,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,2.0
United States,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,1.0
Uruguay,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,9.0,2.0
Uzbekistan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,5.0,1.0
Vanuatu,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,10.0,2.0
Venezuela (Bolivarian Republic of),Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,2.0
Viet Nam,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,5.0,2.0
Western and Central Africa,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,12.0,3.0
World,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,15.0,3.0
Zambia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,2.0
Zimbabwe,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,2.0
fnSeqID,Footnote,,,,,
1,"Data refer to the most recent year available during the period specified in the column heading. Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages, with the exception of 2005-2006 data from India. Estimates from data years prior to 2000 are not displayed.",,,,,
2,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
3,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions and subregions, see page XX.",,,,,
