Country or Area,Subgroup,Year,Source,Unit,Proportion of infants with low birth weight,Proportion of infants with low birth weight Footnotes
Niue,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,0.0,1.0
Norway,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,5.0,1.0
Oman,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,12.0,2.0
Pakistan,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,32.0,2.0
Panama,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,10.0,1.0
Papua New Guinea,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,1.0
Paraguay,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,6.0,2.0
Peru,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,2.0
Philippines,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,21.0,2.0
Poland,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,6.0,1.0
Portugal,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,1.0
Republic of Korea,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,4.0,1.0
Republic of Moldova,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,6.0,1.0
Romania,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,1.0
Russian Federation,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,6.0,2.0
Rwanda,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,7.0,2.0
Saint Kitts and Nevis,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,2.0
Saint Lucia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,2.0
Saint Vincent and the Grenadines,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,2.0
Samoa,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,10.0,2.0
Sao Tome and Principe,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,1.0
Senegal,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,19.0,2.0
Serbia,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,5.0,2.0
Sierra Leone,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,11.0,2.0
Singapore,Total,2007-2011,"UN_Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS), other national surveys, data from routine reporting systems, UNICEF and WHO",Percent,8.0,1.0
