Country or Area,Subgroup,Year,Source,Unit,Proportion of income received by the 40 percent of households with lowest income,Proportion of income received by the 40 percent of households with lowest income Footnotes
Morocco,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Mozambique,Total,2005-2011,UN_World Bank,Percent,15.0,1.0
Namibia,Total,2005-2011,UN_World Bank,Percent,8.0,2.0
Nepal,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Nicaragua,Total,2005-2011,UN_World Bank,Percent,16.0,1.0
Niger,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Nigeria,Total,2005-2011,UN_World Bank,Percent,13.0,1.0
Norway,Total,2005-2011,UN_World Bank,Percent,24.0,2.0
Pakistan,Total,2005-2011,UN_World Bank,Percent,23.0,1.0
Panama,Total,2005-2011,UN_World Bank,Percent,11.0,1.0
Paraguay,Total,2005-2011,UN_World Bank,Percent,11.0,1.0
Peru,Total,2005-2011,UN_World Bank,Percent,12.0,1.0
Philippines,Total,2005-2011,UN_World Bank,Percent,15.0,1.0
Poland,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Republic of Moldova,Total,2005-2011,UN_World Bank,Percent,20.0,1.0
Romania,Total,2005-2011,UN_World Bank,Percent,21.0,1.0
Russian Federation,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Rwanda,Total,2005-2011,UN_World Bank,Percent,13.0,1.0
Sao Tome and Principe,Total,2005-2011,UN_World Bank,Percent,14.0,2.0
Senegal,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
Serbia,Total,2005-2011,UN_World Bank,Percent,23.0,1.0
Seychelles,Total,2005-2011,UN_World Bank,Percent,9.0,1.0
Sierra Leone,Total,2005-2011,UN_World Bank,Percent,16.0,2.0
Slovakia,Total,2005-2011,UN_World Bank,Percent,24.0,1.0
Slovenia,Total,2005-2011,UN_World Bank,Percent,21.0,2.0
South Africa,Total,2005-2011,UN_World Bank,Percent,7.0,1.0
South Asia,Total,2005-2011,UN_World Bank,Percent,21.0,2.0
Spain,Total,2005-2011,UN_World Bank,Percent,19.0,2.0
Sri Lanka,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
State of Palestine,Total,2005-2011,UN_World Bank,Percent,19.0,1.0
Sub-Saharan Africa,Total,2005-2011,UN_World Bank,Percent,15.0,2.0
Sudan (pre-cession),Total,2005-2011,UN_World Bank,Percent,18.0,3.0
Swaziland,Total,2005-2011,UN_World Bank,Percent,11.0,1.0
Sweden,Total,2005-2011,UN_World Bank,Percent,23.0,2.0
Switzerland,Total,2005-2011,UN_World Bank,Percent,20.0,2.0
Syrian Arab Republic,Total,2005-2011,UN_World Bank,Percent,19.0,2.0
Tajikistan,Total,2005-2011,UN_World Bank,Percent,21.0,1.0
Thailand,Total,2005-2011,UN_World Bank,Percent,17.0,1.0
