Country or Area,Subgroup,Year,Source,Unit,Proportion of 1 year-old children immunised against measles,Proportion of 1 year-old children immunised against measles Footnotes
France,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Gabon,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,55.0,
Gambia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Georgia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Germany,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Ghana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,91.0,
Greece,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Grenada,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,95.0,
Guatemala,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,87.0,
Guinea,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,58.0,
Guinea-Bissau,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,61.0,
Guyana,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Haiti,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,59.0,
Honduras,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Hungary,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Iceland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,93.0,
India,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,74.0,
Indonesia,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,89.0,
Iran (Islamic Republic of),Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
Iraq,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,76.0,
Ireland,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,92.0,
Israel,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Italy,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,90.0,
Jamaica,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,88.0,
Japan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,94.0,
Jordan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,98.0,
Kazakhstan,Total 1 yr,2011.0,UN_UNICEF and World Health Organization (WHO),Percent,99.0,
