Country or Area,Subgroup,Year,Source,Unit,Proportion of pupils starting grade 1 who reach grade 5,Proportion of pupils starting grade 1 who reach grade 5 Footnotes
Hungary,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Iran (Islamic Republic of),Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Israel,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Italy,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Jamaica,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Japan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kazakhstan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Kuwait,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Kyrgyzstan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Latin America and Caribbean,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,2.0
Latvia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Least Developed Countries/Territories,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,56.0,2.0
Lebanon,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Lesotho,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
Liechtenstein,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,79.0,1.0
Lithuania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Madagascar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,35.0,1.0
Malawi,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,53.0,1.0
Malaysia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Mali,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Malta,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Marshall Islands,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Mauritania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Mauritius,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Mexico,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Mongolia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Morocco,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,91.0,1.0
Mozambique,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,27.0,1.0
Myanmar,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,75.0,1.0
Namibia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,83.0,1.0
Niger,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,69.0,1.0
Nigeria,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,80.0,1.0
Norway,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Pakistan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,62.0,1.0
Panama,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,94.0,1.0
Paraguay,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,78.0,1.0
Peru,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Philippines,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,76.0,1.0
Poland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Republic of Korea,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Republic of Moldova,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Romania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,97.0,1.0
Russian Federation,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,96.0,1.0
Saint Kitts and Nevis,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,74.0,1.0
Saint Lucia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Sao Tome and Principe,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,1.0
Senegal,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,60.0,1.0
Serbia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Singapore,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Slovakia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Slovenia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,100.0,1.0
Spain,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Sub-Saharan Africa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,60.0,2.0
Suriname,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,90.0,1.0
Swaziland,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,84.0,1.0
Sweden,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Syrian Arab Republic,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Tajikistan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,99.0,1.0
Timor-Leste,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,67.0,1.0
Togo,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,59.0,1.0
Trinidad and Tobago,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,89.0,1.0
Tunisia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Turkey,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Uganda,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,32.0,1.0
Ukraine,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
United Republic of Tanzania,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,1.0
United States,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,93.0,1.0
Uruguay,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,95.0,1.0
Uzbekistan,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,98.0,1.0
Vanuatu,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,71.0,1.0
Venezuela (Bolivarian Republic of),Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,92.0,1.0
Western and Central Africa,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,68.0,2.0
World,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,81.0,2.0
Zambia,Total,2008-2011,UN_UNESCO Institute for Statistics (UIS),Percent,53.0,1.0
fnSeqID,Footnote,,,,,
1,Data refer to the most recent year available during the period specified in the column heading. ,,,,,
2,"Data refer to the most recent year available during the period specified in the column heading. For a complete list of countries and territories in the regions, subregions and country categories, see page XX.",,,,,
3,Data refer to the most recent year available during the period specified in the column heading. Data provided by Chinese Ministry of Education.The UIS dataset does not currently include net enrolment rates or primary school survival for China.,,,,,
