Country or Area,Subgroup,Year,Source,Unit,Internet users,Internet users Footnotes
Guyana,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,32.0,
Honduras,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,16.0,
Hungary,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,59.0,
Iceland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,95.0,
India,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,10.0,
Indonesia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,18.0,
Iran (Islamic Republic of),Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,21.0,
Iraq,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,5.0,
Ireland,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,77.0,
Israel,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,70.0,
Italy,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,57.0,
Jamaica,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,32.0,
Japan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,80.0,
Jordan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,35.0,
Kazakhstan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,45.0,
Kenya,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,28.0,
Kiribati,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,10.0,
Kuwait,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,74.0,
Kyrgyzstan,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,20.0,
Lao People's Democratic Republic,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,9.0,
Latin America and Caribbean,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,39.0,1.0
Latvia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,72.0,
Least Developed Countries/Territories,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,6.0,1.0
Lebanon,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,52.0,
Lesotho,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,4.0,
Liberia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,3.0,
Libya,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,17.0,
Liechtenstein,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,85.0,
Lithuania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,65.0,
Luxembourg,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,91.0,
Madagascar,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,2.0,
Malawi,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,3.0,
Malaysia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,61.0,
Maldives,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,34.0,
Mali,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,2.0,
Malta,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,69.0,
Mauritania,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,5.0,
Mauritius,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,35.0,
Mexico,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,36.0,
Middle East and North Africa,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,29.0,1.0
Mongolia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,20.0,
Montenegro,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,40.0,
Morocco,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,51.0,
Mozambique,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,4.0,
Myanmar,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,1.0,
Namibia,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,12.0,
Nepal,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,9.0,
Netherlands,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,92.0,
New Zealand,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,86.0,
Nicaragua,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,11.0,
Niger,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,1.0,
Nigeria,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,28.0,
Norway,Total,2011.0,"UN_International Telecommunications Union, Geneva",Per 100 population,94.0,
