"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Guyana","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","86","1"
"Haiti","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","630","2"
"Hungary","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","19","1"
"India","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","210","1"
"Indonesia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","230","1"
"Iran (Islamic Republic of)","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","25","2"
"Iraq","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","84","2"
"Jamaica","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","95","2"
"Jordan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","19","1"
"Kazakhstan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","17","1"
"Kenya","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","490","1"
"Kiribati","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Kyrgyzstan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","64","1"
"Lao People's Democratic Republic","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","410","2"
"Latvia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","32","1"
"Lesotho","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","1200","1"
"Liberia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","990","1"
"Lithuania","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","9","1"
"Madagascar","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","500","1"
"Malawi","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","680","1"
"Malaysia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","30","1"
"Maldives","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","140","2"
"Mali","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","460","2"
"Marshall Islands","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","140","1"
"Mauritania","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","690","1"
"Mauritius","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","22","2"
"Mexico","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","52","1"
"Micronesia (Federated States of)","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Mongolia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","47","1"
"Montenegro","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","13","1"
"Morocco","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","130","1"
"Mozambique","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","500","1"
"Myanmar","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","320","2"
"Namibia","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","450","1"
"Nauru","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","300","2"
"Nepal","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","280","2"
"Nicaragua","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","63","1"
"Niger","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","650","2"
"Nigeria","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","550","1"
"Niue","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","2"
"Oman","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","26","1"
"Pakistan","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","280","1"
"Palau","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","0","1"
"Panama","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","60","1"
"Papua New Guinea","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","730","2"
"Paraguay","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","100","1"
"Peru","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","93","1"
"Philippines","Total","2007-2011","UN_Nationally representative sources, including household surveys and vital registration","Deaths per 100,000 live births","160","2"
