"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Jamaica","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","15","1"
"Jordan","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","19","1"
"Kenya","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","6","1"
"Kiribati","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","10","1"
"Lao People's Democratic Republic","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","1"
"Latin America and Caribbean","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","40","4"
"Least Developed Countries/Territories","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","6","4"
"Lesotho","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","7","1"
"Liberia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","4","1"
"Luxembourg","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","29","1"
"Madagascar","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","1"
"Malawi","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","5","1"
"Maldives","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","32","1"
"Mali","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","2"
"Marshall Islands","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","9","1"
"Mauritania","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","3","2"
"Mexico","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","43","1"
"Mongolia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","21","1"
"Morocco","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","16","1"
"Mozambique","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","2"
"Namibia","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","13","1"
"Nauru","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","8","1"
"Nepal","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","5","1"
"Netherlands","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","14","1"
"New Zealand","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","23","1"
"Nicaragua","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","20","1"
"Niger","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","1","2"
"Nigeria","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","2","1"
"Norway","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","16","1"
"Oman","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","14","1"
"Pakistan","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","7","1"
"Paraguay","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","33","1"
"Peru","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","23","1"
"Philippines","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","10","1"
"Poland","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","21","1"
"Portugal","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","31","1"
"Republic of Korea","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","32","1"
"Republic of Moldova","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","9","2"
"Romania","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","19","2"
"Rwanda","Total","2007-2012","UN_Demographic and Health Surveys (DHS) and other national surveys","Percent","7","1"
