"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Guatemala","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Guinea","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","84","1"
"Guinea-Bissau","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Guyana","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Honduras","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Hungary","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Iceland","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"India","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Indonesia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","102","1"
"Iran (Islamic Republic of)","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Ireland","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Israel","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Italy","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Jamaica","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","95","1"
"Japan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Jordan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Kazakhstan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Kenya","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Kiribati","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Kuwait","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","103","1"
"Kyrgyzstan","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Lao People's Democratic Republic","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","93","1"
"Latin America and Caribbean","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","2"
"Latvia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Least Developed Countries/Territories","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","2"
"Lebanon","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","97","1"
"Lesotho","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Liberia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Liechtenstein","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Lithuania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Luxembourg","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Madagascar","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Malawi","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","104","1"
"Maldives","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","96","1"
"Mali","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","87","1"
"Malta","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Marshall Islands","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Mauritania","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","105","1"
"Mauritius","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","101","1"
"Mexico","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Middle East and North Africa","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","2"
"Mongolia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Montenegro","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Morocco","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","94","1"
"Mozambique","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","90","1"
"Myanmar","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Namibia","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"Nauru","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","106","1"
"Netherlands","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","99","1"
"New Zealand","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
"Nicaragua","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","98","1"
"Niger","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","82","1"
"Nigeria","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","91","1"
"Norway","Total","2008-2011","UN_UNESCO Institute for Statistics (UIS)","Percent","100","1"
