"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Greece","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","25500","1"
"Grenada","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1700","1"
"Guatemala","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","190","1"
"Guinea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","30","1"
"Guinea-Bissau","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","25","1"
"Guyana","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","150","1"
"Haiti","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","83","1"
"Honduras","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","270","1"
"Hungary","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","3300","1"
"Iceland","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","8900","1"
"India","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","170","1"
"Indonesia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","210","1"
"Iran (Islamic Republic of)","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","2400","1"
"Iraq","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","310","1"
"Ireland","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","8100","1"
"Israel","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","5100","1"
"Italy","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","20300","1"
"Jamaica","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","370","1"
"Japan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","13100","1"
"Jordan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","470","1"
"Kazakhstan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","770","1"
"Kenya","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","55","1"
"Kuwait","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","2900","1"
"Kyrgyzstan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","480","1"
"Lao People's Democratic Republic","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","74","1"
"Latin America and Caribbean","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","520","2"
"Latvia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","2000","1"
"Least Developed Countries/Territories","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","52","2"
"Lebanon","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","2100","1"
"Lesotho","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","53","1"
"Liberia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","24","1"
"Libya","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","620","1"
"Lithuania","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","9400","1"
"Luxembourg","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","3200","1"
"Madagascar","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","81","1"
"Malawi","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","36","1"
"Malaysia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1300","1"
"Maldives","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","870","1"
"Mali","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","28","1"
"Malta","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","8900","1"
"Mauritania","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","44","1"
"Mauritius","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1000","1"
"Mexico","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","790","1"
"Micronesia (Federated States of)","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","290","1"
"Middle East and North Africa","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","190","2"
"Mongolia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","600","1"
"Montenegro","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","7400","1"
"Morocco","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","400","1"
"Mozambique","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","43","1"
"Myanmar","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","250","1"
"Namibia","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","160","1"
"Nepal","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","190","1"
"Netherlands","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","10500","1"
"New Zealand","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","3300","1"
"Nicaragua","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","350","1"
"Niger","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","23","1"
"Nigeria","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","29","1"
"Norway","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","7900","1"
"Oman","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1200","1"
"Pakistan","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","110","1"
"Panama","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","410","1"
"Papua New Guinea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","110","1"
"Paraguay","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","310","1"
"Peru","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","570","1"
"Philippines","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","300","1"
"Poland","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","14400","1"
"Portugal","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","9200","1"
"Qatar","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","5400","1"
"Republic of Korea","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","4800","1"
"Republic of Moldova","Total","2010","UN_WHO, UNICEF, UNFPA and World Bank","1 in n","1500","1"
