Country or Area,Female genital mutilationcutting of daughters
Benin,2.0
Burkina Faso,13.0
Cameroon,1.0
Central African Republic,1.0
Chad,18.0
Côte d'Ivoire,9.0
Djibouti,49.0
Egypt,24.0
Eritrea,63.0
Ethiopia,38.0
Gambia,42.0
Ghana,0.0
Guinea,57.0
Guinea-Bissau,39.0
Mali,75.0
Mauritania,66.0
Niger,1.0
Nigeria,30.0
Senegal,13.0
Sierra Leone,10.0
Somalia,46.0
Sub-Saharan Africa,24.0
Sudan,37.0
Togo,0.0
Uganda,1.0
United Republic of Tanzania,3.0
Western and Central Africa,23.0
Yemen,20.0
